Fecha,IIECH
01-01-1993,57.9
01-02-1993,50.7
01-03-1993,72.7
01-04-1993,61.1
01-05-1993,103.3
01-06-1993,56.5
01-07-1993,56.9
01-08-1993,66.7
01-09-1993,81.3
01-10-1993,60.7
01-11-1993,78.0
01-12-1993,78.4
01-01-1994,97.9
01-02-1994,57.3
01-03-1994,109.0
01-04-1994,61.5
01-05-1994,82.1
01-06-1994,69.5
01-07-1994,102.0
01-08-1994,65.0
01-09-1994,56.6
01-10-1994,45.0
01-11-1994,70.5
01-12-1994,85.4
01-01-1995,112.6
01-02-1995,117.9
01-03-1995,100.8
01-04-1995,89.9
01-05-1995,71.3
01-06-1995,75.0
01-07-1995,83.3
01-08-1995,91.7
01-09-1995,117.2
01-10-1995,99.9
01-11-1995,99.6
01-12-1995,113.8
01-01-1996,81.9
01-02-1996,108.6
01-03-1996,113.7
01-04-1996,99.4
01-05-1996,70.3
01-06-1996,89.2
01-07-1996,121.8
01-08-1996,62.4
01-09-1996,63.9
01-10-1996,75.8
01-11-1996,61.0
01-12-1996,82.3
01-01-1997,117.5
01-02-1997,87.1
01-03-1997,67.3
01-04-1997,80.6
01-05-1997,88.7
01-06-1997,93.7
01-07-1997,93.1
01-08-1997,74.1
01-09-1997,90.9
01-10-1997,123.8
01-11-1997,160.5
01-12-1997,155.3
01-01-1998,138.2
01-02-1998,152.1
01-03-1998,131.1
01-04-1998,101.9
01-05-1998,133.4
01-06-1998,147.8
01-07-1998,163.1
01-08-1998,189.7
01-09-1998,258.0
01-10-1998,157.5
01-11-1998,123.3
01-12-1998,128.0
01-01-1999,141.6
01-02-1999,115.6
01-03-1999,124.3
01-04-1999,116.6
01-05-1999,118.2
01-06-1999,121.8
01-07-1999,107.3
01-08-1999,79.9
01-09-1999,114.0
01-10-1999,101.9
01-11-1999,120.3
01-12-1999,110.2
01-01-2000,117.4
01-02-2000,93.1
01-03-2000,79.0
01-04-2000,97.0
01-05-2000,122.0
01-06-2000,120.3
01-07-2000,110.4
01-08-2000,112.4
01-09-2000,149.7
01-10-2000,122.4
01-11-2000,155.1
01-12-2000,148.0
01-01-2001,143.9
01-02-2001,129.3
01-03-2001,163.1
01-04-2001,157.8
01-05-2001,141.9
01-06-2001,119.3
01-07-2001,132.9
01-08-2001,107.8
01-09-2001,148.2
01-10-2001,165.7
01-11-2001,147.1
01-12-2001,117.5
01-01-2002,124.8
01-02-2002,98.9
01-03-2002,86.1
01-04-2002,95.3
01-05-2002,84.0
01-06-2002,136.2
01-07-2002,134.2
01-08-2002,124.0
01-09-2002,162.9
01-10-2002,157.3
01-11-2002,99.1
01-12-2002,141.5
01-01-2003,143.6
01-02-2003,166.3
01-03-2003,191.7
01-04-2003,188.7
01-05-2003,126.5
01-06-2003,95.0
01-07-2003,105.7
01-08-2003,64.9
01-09-2003,75.9
01-10-2003,60.2
01-11-2003,70.9
01-12-2003,85.8
01-01-2004,79.0
01-02-2004,70.1
01-03-2004,126.7
01-04-2004,93.5
01-05-2004,95.2
01-06-2004,77.3
01-07-2004,83.5
01-08-2004,63.7
01-09-2004,58.9
01-10-2004,69.8
01-11-2004,57.1
01-12-2004,58.2
01-01-2005,63.8
01-02-2005,53.6
01-03-2005,71.6
01-04-2005,60.0
01-05-2005,69.9
01-06-2005,80.8
01-07-2005,56.3
01-08-2005,63.9
01-09-2005,83.4
01-10-2005,57.8
01-11-2005,66.1
01-12-2005,92.5
01-01-2006,83.2
01-02-2006,60.8
01-03-2006,58.5
01-04-2006,80.8
01-05-2006,95.2
01-06-2006,102.9
01-07-2006,73.2
01-08-2006,66.8
01-09-2006,85.9
01-10-2006,51.7
01-11-2006,54.8
01-12-2006,47.6
01-01-2007,52.1
01-02-2007,54.9
01-03-2007,59.8
01-04-2007,68.5
01-05-2007,53.0
01-06-2007,39.2
01-07-2007,41.1
01-08-2007,92.8
01-09-2007,77.0
01-10-2007,69.6
01-11-2007,57.0
01-12-2007,68.4
01-01-2008,109.4
01-02-2008,58.2
01-03-2008,117.9
01-04-2008,98.5
01-05-2008,73.4
01-06-2008,90.4
01-07-2008,69.9
01-08-2008,92.4
01-09-2008,139.5
01-10-2008,187.4
01-11-2008,134.6
01-12-2008,103.7
01-01-2009,115.0
01-02-2009,99.5
01-03-2009,102.3
01-04-2009,68.7
01-05-2009,76.1
01-06-2009,59.2
01-07-2009,69.5
01-08-2009,49.0
01-09-2009,54.8
01-10-2009,60.1
01-11-2009,54.2
01-12-2009,61.8
01-01-2010,79.9
01-02-2010,61.4
01-03-2010,72.9
01-04-2010,77.0
01-05-2010,98.8
01-06-2010,98.8
01-07-2010,72.4
01-08-2010,71.1
01-09-2010,60.6
01-10-2010,78.4
01-11-2010,69.5
01-12-2010,64.0
01-01-2011,69.3
01-02-2011,61.7
01-03-2011,94.6
01-04-2011,77.9
01-05-2011,71.4
01-06-2011,117.1
01-07-2011,114.6
01-08-2011,153.6
01-09-2011,115.3
01-10-2011,122.6
01-11-2011,131.0
01-12-2011,129.5
01-01-2012,108.7
01-02-2012,78.5
01-03-2012,98.2
01-04-2012,93.0
01-05-2012,104.3
01-06-2012,151.7
01-07-2012,100.0
01-08-2012,121.6
01-09-2012,102.3
01-10-2012,74.6
01-11-2012,109.7
01-12-2012,105.8
01-01-2013,98.6
01-02-2013,112.8
01-03-2013,79.5
01-04-2013,73.8
01-05-2013,67.8
01-06-2013,130.1
01-07-2013,103.0
01-08-2013,108.7
01-09-2013,98.6
01-10-2013,109.6
01-11-2013,105.7
01-12-2013,103.2
01-01-2014,108.3
01-02-2014,87.3
01-03-2014,119.9
01-04-2014,98.4
01-05-2014,101.0
01-06-2014,132.5
01-07-2014,112.0
01-08-2014,175.4
01-09-2014,149.4
01-10-2014,104.3
01-11-2014,126.1
01-12-2014,204.9
01-01-2015,125.8
01-02-2015,110.7
01-03-2015,86.0
01-04-2015,121.6
01-05-2015,155.9
01-06-2015,159.6
01-07-2015,229.5
01-08-2015,184.7
01-09-2015,110.2
01-10-2015,143.7
01-11-2015,121.8
01-12-2015,156.0
